variant,tier_a_event_count,tier_b_event_count,tier_c_event_count,tier_a_recall,tier_b_recall,tier_c_recall,tier_a_snapshot_recall,tier_b_snapshot_recall,tier_c_snapshot_recall,tier_a_prearmed_recall,tier_b_prearmed_recall,ab_weighted_recall,reaction_median_ms,reaction_p95_ms,tier_a_reaction_p95_ms,tier_b_reaction_p95_ms,oversampling_median_ms,oversampling_p95_ms,oversampling_observed_count,oversampling_censored_dataset_end,oversampling_ended_by_next_event,oversampling_released_count,oversampling_horizon_hit_count,false_fast_time,fast_time_fraction,snapshot_count,fixed1s_snapshot_count,snapshot_reduction,mid_reconstruction_mae_bp,imbalance_reconstruction_mae,gates_passed,gate_count,pass,checks
fixed-1s,205,45,756,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0989010989010989,0.0,0.0,0.0,0.0,30000.0,30000.0,250,0,104,0,146,1.0,1.0,35105,35105,0.0,0.10915973921799356,0.09284893532255296,3,9,False,"{""ab_weighted_recall"": false, ""false_fast"": false, ""oversampling"": false, ""reaction"": true, ""reduction"": false, ""tier_a_recall"": false, ""tier_a_snapshot_recall"": false, ""tier_b_recall"": true, ""tier_b_snapshot_recall"": true}"
fixed-2.5s,205,45,756,0.0,0.0,1.0,0.0,0.0,0.47883597883597884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,250,0,0,250,0,0.0,0.0,14042,35105,0.6,0.2737952784187585,0.15523495616409197,4,9,False,"{""ab_weighted_recall"": false, ""false_fast"": true, ""oversampling"": true, ""reaction"": true, ""reduction"": true, ""tier_a_recall"": false, ""tier_a_snapshot_recall"": false, ""tier_b_recall"": false, ""tier_b_snapshot_recall"": false}"
asym-sqrt_excess-price_heavy-responsive-tau1400-g0.75,205,45,756,1.0,1.0,0.8796296296296297,1.0,0.8888888888888888,0.7976190476190477,0.4682926829268293,0.8444444444444444,1.0,0.0,0.0,0.0,0.0,3250.0,12137.499999999996,250,0,54,193,3,0.131684788537765,0.14590618078750026,12830,35105,0.6345249964392536,0.17690858841535867,0.1779460154701254,7,9,False,"{""ab_weighted_recall"": true, ""false_fast"": true, ""oversampling"": false, ""reaction"": true, ""reduction"": true, ""tier_a_recall"": true, ""tier_a_snapshot_recall"": true, ""tier_b_recall"": true, ""tier_b_snapshot_recall"": false}"
asym-sqrt_excess-price_heavy-balanced-tau1900-g0.95,205,45,756,1.0,1.0,0.8703703703703703,1.0,0.9555555555555556,0.8174603174603174,0.5121951219512195,0.8444444444444444,1.0,0.0,0.0,0.0,0.0,3750.0,17662.499999999985,250,0,62,183,5,0.16524964544165244,0.1792065176365022,13633,35105,0.6116507619997151,0.16361918400412492,0.17201976424714807,8,9,False,"{""ab_weighted_recall"": true, ""false_fast"": true, ""oversampling"": false, ""reaction"": true, ""reduction"": true, ""tier_a_recall"": true, ""tier_a_snapshot_recall"": true, ""tier_b_recall"": true, ""tier_b_snapshot_recall"": true}"
asym-log_excess-balanced-clean_release-tau2600-g0.95,205,45,756,1.0,1.0,0.7751322751322751,1.0,0.9333333333333333,0.75,0.43902439024390244,0.7777777777777778,1.0,0.0,0.0,0.0,0.0,3750.0,19187.499999999978,250,0,61,184,5,0.1384777628277392,0.15265740391257593,12818,35105,0.634866828087167,0.1907865205951728,0.17983070161414932,8,9,False,"{""ab_weighted_recall"": true, ""false_fast"": true, ""oversampling"": false, ""reaction"": true, ""reduction"": true, ""tier_a_recall"": true, ""tier_a_snapshot_recall"": true, ""tier_b_recall"": true, ""tier_b_snapshot_recall"": true}"
asym-log_excess-price_heavy-clean_release-tau1400-g0.75,205,45,756,1.0,1.0,0.5674603174603174,1.0,0.8666666666666667,0.5145502645502645,0.3170731707317073,0.6444444444444445,1.0,0.0,250.0,0.0,0.0,2250.0,5637.499999999995,250,0,32,218,0,0.057914833266664245,0.0719275881469032,9860,35105,0.7191283292978208,0.3117367365947988,0.19485541652726168,8,9,False,"{""ab_weighted_recall"": true, ""false_fast"": true, ""oversampling"": true, ""reaction"": true, ""reduction"": true, ""tier_a_recall"": true, ""tier_a_snapshot_recall"": true, ""tier_b_recall"": true, ""tier_b_snapshot_recall"": false}"
asym-sqrt_excess-confluence-responsive-tau1400-g0.75,205,45,756,1.0,1.0,0.9272486772486772,1.0,0.9333333333333333,0.8055555555555556,0.4975609756097561,0.9111111111111111,1.0,0.0,0.0,0.0,0.0,3750.0,19637.499999999996,250,0,61,186,3,0.18424669987999565,0.1979575413583632,14421,35105,0.5892038171200684,0.15364467457794687,0.16767377203895203,8,9,False,"{""ab_weighted_recall"": true, ""false_fast"": true, ""oversampling"": false, ""reaction"": true, ""reduction"": true, ""tier_a_recall"": true, ""tier_a_snapshot_recall"": true, ""tier_b_recall"": true, ""tier_b_snapshot_recall"": true}"
asym-sqrt_excess-confluence-clean_release-tau2600-g0.55,205,45,756,1.0,1.0,0.7976190476190477,1.0,0.9333333333333333,0.7751322751322751,0.5024390243902439,0.7777777777777778,1.0,0.0,0.0,0.0,0.0,3500.0,16799.99999999998,250,0,62,184,4,0.1320702571002582,0.1463121087602105,12241,35105,0.6513032331576698,0.20505585432925105,0.18346834082784189,8,9,False,"{""ab_weighted_recall"": true, ""false_fast"": true, ""oversampling"": false, ""reaction"": true, ""reduction"": true, ""tier_a_recall"": true, ""tier_a_snapshot_recall"": true, ""tier_b_recall"": true, ""tier_b_snapshot_recall"": true}"
asym-sqrt_excess-balanced-balanced-tau2600-g1.2,205,45,756,1.0,1.0,0.955026455026455,1.0,1.0,0.8822751322751323,0.6341463414634146,0.9555555555555556,1.0,0.0,0.0,0.0,0.0,5750.0,30000.0,250,0,77,155,18,0.30998945416196955,0.3219863408797955,17950,35105,0.4886768266628685,0.12379660501433515,0.14420332002567626,7,9,False,"{""ab_weighted_recall"": true, ""false_fast"": false, ""oversampling"": false, ""reaction"": true, ""reduction"": true, ""tier_a_recall"": true, ""tier_a_snapshot_recall"": true, ""tier_b_recall"": true, ""tier_b_snapshot_recall"": true}"
asym-log_excess-balanced-clean_release-tau1400-g0.75,205,45,756,1.0,1.0,0.6534391534391535,1.0,0.8888888888888888,0.5859788359788359,0.3121951219512195,0.6444444444444445,1.0,0.0,250.0,0.0,0.0,2250.0,6137.499999999995,250,0,38,212,0,0.058053020109822176,0.07222669296890022,10467,35105,0.7018373451075346,0.27706414357917897,0.19582948906086706,7,9,False,"{""ab_weighted_recall"": true, ""false_fast"": true, ""oversampling"": false, ""reaction"": true, ""reduction"": true, ""tier_a_recall"": true, ""tier_a_snapshot_recall"": true, ""tier_b_recall"": true, ""tier_b_snapshot_recall"": false}"
